"orignal_val","predcited_Rev"
51756.1,51831.696365082
28161.2,25367.6961837692
18900.7,20280.0434357339
103410.1,99507.9261490905
54686.7,59668.3227753622
33396,37881.6807656303
18273.1,19295.3364522432
134134.5,131428.844197248
28113.6,27501.2279813324
103535.2,91999.5353999738
39372.7,40548.5955125843
36265.2,32629.9101870132
23785.8,21716.0744533245
94786.4,99466.896691445
66335.2,62745.5320987707
43011.8,36773.8854092032
21085.9,20936.514758061
128693,121458.685989404
28096,28198.728761305
103496,101026.016081972
41676,41656.3908690113
30634,35378.8838492581
25750,22290.4868603607
99803,94215.1261128279
63100,62827.5910140616
41345,37102.1210703668
22130,24547.1070308603
129298.8,135285.61321592
25610.6,25572.8434719964
108141.75,104759.696727708
54915.3,49041.6932451917
30908.55,37061.0916127214
24214.6,22577.6930638788
99633.65,111406.46886627
56493.55,63402.0034210978
29735.65,31891.3799493951
19440.2,19787.6899439885
115550.35,127736.193009157
27593.75,26721.6682860689
100724.45,99507.9261490905
48994.95,50559.7831780732
39186.2,39563.8885290936
25521.25,24218.8713696967
115082.5,112268.087476824
52529.25,67176.7135244789
37515,42805.2156830838
17254.3,19828.7194016339
114310,115919.709207269
24092,23521.3705897241
86539,84778.3508543753
32244,37348.2978162395
31588,27993.5814730777
22524,24382.9892002785
101248,95692.186588064
50272,60735.0886741438
33643,32876.0869328858
16186,20156.9550627975
130734,120063.684429459
21556,23603.429505015
89683,87773.5012624929
38926,35337.8543916126
25696,24177.8419120512
20836,19049.1597063705
101476,90727.622212965
51963,53595.9630438362
37056,39851.0947326117
16558,16710.48062058
135406,122074.127854086
27311,27501.2279813324
99822,91137.9167894195
35235,41081.9784619751
37012,33819.7644587311
20841,21223.7209615791
95344,99959.2501831904
61865,57863.0266389626
37953,35625.0605951307
16845,23562.4000473696
130398.3,132618.698468966
27840.8,26475.4915401962
90531.5,95651.1571304185
38483.7,48713.4575840281
33656.1,34106.9706622492
22530.7,24013.7240814695
101398,106195.727745298
74501.2,71772.0127807689
41165.1,37307.268358594
27294.8,23480.3411320787
143447.9,153092.397834043
30098.5,32424.7628987859
123019.8,117807.06425896
42844.8,46908.1614476285
28439.5,28814.1706259867
20157.1,22331.5163180062
106534.9,109231.907611061
58903.6,67915.2437620969
38915.4,39194.6234102846
17860.7,23685.4884203059
132725,135449.731046501
21883,27008.874489587
115795,107344.552559371
50146,48344.1924652191
28345,29634.7597788956
21928,20526.2201816065
87752,93517.6253328553
69079,62950.6793869979
44975,40138.3009361298
16013,18515.7767569797
140960.8,133398.258164229
37552.2,31809.3210341042
83183,90973.7989588377
58801.4,54334.4932814542
35116.6,32055.4977799769
22987.6,23070.0465556242
113346.8,108821.613034607
71342.6,64468.7693198794
28129,33450.4993399221
29423.4,27788.4341848505
138222,143819.740406172
24031.3,23480.3411320787
100783.1,97415.4238091727
53194.5,49780.2234828097
29799.2,28691.0822530503
17618.6,21839.1628262608
118717.4,119366.183649486
72942.1,80921.5818357034
39660.7,36773.8854092032
29903.7,25449.7550990601
156980.2,142014.444269773
27667.2,26721.6682860689
99225.6,98646.3075385361
59145.7,52529.1971450546
35697.4,35009.6187304491
29974,23234.164386206
104115.8,111201.321578043
71451.4,71238.6298313781
38687.6,38948.4466644119
23044.2,24054.7535391149
163855,154569.458309279
27952,27665.3458119142
133697,118094.270462478
52072,50190.5180592642
40236,38907.4172067664
23699,24834.3132343784
125566,115591.473546105
68883,74356.868612432
52794,48836.5459569644
23265,24752.2543190875
168398.85,175945.805742557
25589.4,30701.5256776772
118968.95,133275.169791293
58829.8,63730.2390822614
34784.9,37922.7102232757
32426.75,30291.2311012227
131397.05,143040.180710909
86735.1,93968.9493669553
34990.45,46251.6901253013
26574.9,30947.7024235499
186476.85,182838.754626992
31239.65,33532.558255213
113530.65,120145.74334475
53201.5,54006.2576202906
31313.2,39933.1536479026
29508.55,28773.1411683412
139180.9,145460.91871199
86679.9,92040.5648576193
48982.95,51093.166127464
28500.7,32958.1458481767
